,bs_map_id,title,artist,mapper_name,mapper_id,duration_seconds,auto_mapped,upload_date,upvotes,downvotes,score,tags,difficulties,last_fetched
0,36d57,Damned (spooky edition) ,Kevin Sherwood - treyarch sound,_kirbnt,4344243,60,False,2023-11-02T05:35:43.855230Z,0,0,0.5,"['challenge', 'tech', 'dubstep', 'classical-orchestral']","['ExpertPlus', 'Easy']",2023-11-01
1,36d56,さくら、Reincarnation -opening version,佐咲纱花,Atri,134004,131,False,2023-11-02T04:20:56.700512Z,0,0,0.5,['anime'],['Hard'],2023-11-01
2,36d54,sleep is blacwhote,benveclovensytno0sub slepe benovelecen sleep again jhonathian sniner alwasy ad nseaweed and bbo dole (ft. ditigal fgoot..........),albej,111393,27,False,2023-11-02T04:04:11.385413Z,0,0,0.5,"['challenge', 'fitness', 'anime', 'ambient']","['Expert', 'ExpertPlus']",2023-11-01
3,36d4f,endlessly,bixby,VoltageChallengePosts,4349351,127,False,2023-11-02T02:11:32.067218Z,0,0,0.5,['none'],"['Expert', 'ExpertPlus']",2023-11-01
4,36d4e,The Beat,Mad Dog,Qwan,124362,183,False,2023-11-02T01:42:15.079082Z,0,0,0.5,"['challenge', 'electronic', 'hardcore']",['ExpertPlus'],2023-11-01
5,36d4d,HIBARI,HIMEHINA,yabutubaki,4263867,268,False,2023-11-02T01:22:55.283913Z,0,0,0.5,['none'],['Hard'],2023-11-01
6,36d4c,disconsolate outro,plec0 + elwood,dahdumbguy,4286246,181,False,2023-11-02T00:41:11.564071Z,0,0,0.5,"['challenge', 'tech', 'vocaloid', 'speedcore']",['ExpertPlus'],2023-11-01
7,36d4b,Secret Illumination,Yooh,sharkzyu,169893,158,False,2023-11-02T00:37:28.019777Z,1,1,0.5,"['tech', 'dubstep', 'instrumental']",['ExpertPlus'],2023-11-01
8,36d4a,Ghost Family Living In Graveyard,RoughSketch,CosmonautSaitni,4326833,277,False,2023-11-02T00:31:28.552864Z,0,0,0.5,"['challenge', 'folk-acoustic', 'funk-disco', 'accuracy']",['ExpertPlus'],2023-11-01
9,36d45,Tension,Kylie Minogue,picklesmcgoo,4309540,218,False,2023-11-01T23:13:41.771860Z,0,0,0.5,"['pop', 'dance-style', 'fitness', 'dance']",['ExpertPlus'],2023-11-01
10,36d42,Diabolic Swing,,Cyn3,138826,154,False,2023-11-01T22:52:28.942982Z,0,0,0.5,['none'],"['Easy', 'ExpertPlus']",2023-11-01
11,36d37,zeemeeuw, gladde paling,gagecorduck,4286472,89,False,2023-11-01T22:46:22.957847Z,0,0,0.5,['none'],['ExpertPlus'],2023-11-01
12,36d22,Wasted Youth,Secret Band,dentalstonk,4285353,173,False,2023-11-01T22:19:06.879644Z,0,0,0.5,"['challenge', 'tech', 'metal', 'rock']",['ExpertPlus'],2023-11-01
13,36d07,oei,Gladde Paling,schonk,4280470,130,False,2023-11-01T21:45:50.072223Z,1,1,0.5,"['accuracy', 'dance-style', 'anime', 'hip-hop-rap']",['ExpertPlus'],2023-11-01
14,36d08,Sweden-C418(Remix)Minecraft Soundtrack,,Romatangoji,151766,186,False,2023-11-01T21:45:10.401084Z,0,0,0.5,"['video-game-soundtrack', 'drum-and-bass', 'accuracy', 'speed']",['Expert'],2023-11-01
15,36d05,Mechanized Memories - in the end -,Frequency,sofmoh,4347402,329,False,2023-11-01T21:03:12.502888Z,0,1,0.3871,"['tech', 'j-rock', 'alternative', 'balanced']",['ExpertPlus'],2023-11-01
16,36d04,My Ordinary Life,The Living Tombstone,nogamea444YT,141615,234,False,2023-11-01T20:33:52.873335Z,0,1,0.3871,['none'],['ExpertPlus'],2023-11-01
17,3577f,u wanna,michael rose ai,edgyguns_,113944,120,False,2023-11-01T20:04:04.974679Z,1,0,0.6129,"['tech', 'balanced', 'pop']",['ExpertPlus'],2023-11-01
18,36d03,Shiawase,Dion Timmer,my5t1c6l,163424,183,False,2023-11-01T19:54:03.881035Z,0,0,0.5,"['speed', 'accuracy', 'dance']",['ExpertPlus'],2023-11-01
19,36d02,Dronwning,VAGUE003,luna23597,169296,123,False,2023-11-01T19:39:15.717028Z,0,0,0.5,['none'],['Expert'],2023-11-01
20,36d01,Hello (Unreleased Track),Kylie Minogue,cimmaronvalley,165203,147,False,2023-11-01T18:58:39.462302Z,0,0,0.5,"['techno', 'dance-style', 'pop']","['Easy', 'Expert', 'ExpertPlus']",2023-11-01
21,36d00,jezus christus is dus mijn vriend,gladde paling & UH!!!,MXW_skulls,159767,94,False,2023-11-01T18:47:32.086532Z,1,0,0.6129,['none'],['ExpertPlus'],2023-11-01
22,36cfd,Happy,NF,jzawhatls,170252,245,False,2023-11-01T18:15:13.825466Z,0,1,0.3871,['none'],"['Normal', 'Hard', 'ExpertPlus']",2023-11-01
23,36cfc,Love Train,Kylie Minogue,cimmaronvalley,165203,176,False,2023-11-01T18:12:34.296890Z,0,1,0.3871,"['dance-style', 'pop', 'dance']",['Expert'],2023-11-01
24,36cfb,Tension (Chromeo Mix),Kylie Minogue,cimmaronvalley,165203,247,False,2023-11-01T17:45:19.927938Z,0,0,0.5,"['dance-style', 'pop', 'electronic']","['Easy', 'Expert', 'ExpertPlus']",2023-11-01
25,36cf2,OMG,NewJeans,eurnkung,4285115,146,False,2023-11-01T17:00:00.726882Z,5,0,0.7732,"['balanced', 'dance-style', 'k-pop']","['Expert', 'ExpertPlus']",2023-11-01
26,36cb5,Sour Candy,"Lady Gaga, BLACKPINK",minsiii,4326041,151,False,2023-11-01T17:00:00.567159Z,2,1,0.5732,"['tech', 'k-pop', 'pop']",['ExpertPlus'],2023-11-01
27,36cb3,FLOWER,JISOO,meoaww,119875,160,False,2023-11-01T17:00:00.513566Z,4,0,0.75,"['fitness', 'balanced', 'k-pop', 'electronic']","['Expert', 'ExpertPlus']",2023-11-01
28,36cf6,Super Shy,NewJeans,tocxx,4285509,172,False,2023-11-01T18:48:52.637191Z,6,0,0.7915,"['speed', 'tech', 'k-pop', 'hardcore']",['ExpertPlus'],2023-11-01
29,36cc7,How You Like That,BLACKPINK,Lalahti,113814,145,False,2023-11-01T17:00:00.464876Z,6,0,0.7915,"['k-pop', 'electronic']","['Hard', 'Expert', 'ExpertPlus']",2023-11-01
30,36cde,Kill This Love,BLACKPINK,Jonas_0_0,120215,210,False,2023-11-01T17:00:00.445148Z,5,0,0.7732,"['balanced', 'k-pop']",['ExpertPlus'],2023-11-01
31,36c91,Ice Cream,BLACKPINK x Selena Gomez,WKD_Raven,4339574,166,False,2023-11-01T17:00:00.421432Z,3,0,0.7195,"['balanced', 'k-pop']",['ExpertPlus'],2023-11-01
32,36cc0,Pink Venom,BLACKPINK,Bellus,145971,134,False,2023-11-01T17:00:00.404425Z,4,0,0.75,"['dance-style', 'tech', 'k-pop']","['Expert', 'ExpertPlus']",2023-11-01
33,36c6b,SOLO,JENNIE,Royal,4285088,138,False,2023-11-01T17:00:00.378869Z,5,0,0.7732,"['balanced', 'speed', 'k-pop', 'electronic']",['ExpertPlus'],2023-11-01
34,36cb4,Pretty Savage,BLACKPINK,fatahkent,4334191,196,False,2023-11-01T17:54:29.948857Z,6,0,0.7915,"['tech', 'k-pop', 'electronic']",['ExpertPlus'],2023-11-01
35,36cf5,Port Ormos,HOYO-MiX,JaVRier,4284412,103,False,2023-11-01T16:02:06.207264Z,2,0,0.6771,"['balanced', 'video-game-soundtrack']",['ExpertPlus'],2023-11-01
36,36cf4,Halloween Is Chaos,RoughSketch,oermergeesh,4284595,244,False,2023-11-01T19:41:30.111725Z,1,1,0.5,"['tech', 'dance-style', 'hardcore', 'electronic']",['ExpertPlus'],2023-11-01
37,36cf3,Re:Re i made a snail pancake,"4649nadeshiko",Wooffley,123452,95,False,2023-11-01T14:24:24.409509Z,0,0,0.5,['accuracy'],"['Hard', 'Expert', 'ExpertPlus']",2023-11-01
38,36cf1,Distortion,BABYMETAL,nitronik.exe,4284201,187,False,2023-11-01T14:15:16.838882Z,10,0,0.8386,"['balanced', 'tech', 'metal']","['Hard', 'Expert', 'ExpertPlus']",2023-11-01
