bs_map_id,title,artist,mapper_name,mapper_id,duration_seconds,auto_mapped,upload_date,upvotes,downvotes,score,tags,difficulties,last_fetched,spotify_id,bs_map_link,spotify_link,sp_title,sp_artist,sp_artist_id,album,album_released,album_type,sp_duration,artist_genres,sp_danceability,sp_energy,sp_key,sp_loudness,sp_mode,sp_speechiness,sp_acousticness,sp_instrumentalness,sp_liveness,sp_valence,sp_tempo,sp_time_signature,sp_popularity,artist_match,title_match,duration_difference,match_conclusion
387f4,Marshall Maximizer,Hiiragi Magnetite / Hoshimachi Suisei,saged,127830,164,False,2024-01-01T13:06:21.320778Z,9,6,0.5741,"['j-pop', 'vocaloid']","['Easy', 'Normal', 'Hard', 'Expert', 'ExpertPlus']",2024-01-12,6wmcrRId5aeo7hiEqHAtEO,https://beatsaver.com/maps/387f4,http://open.spotify.com/track/6wmcrRId5aeo7hiEqHAtEO,みちづれ,Hoshimachi Suisei,726WiFmWkohzodUxK3XjHX,Specter,2023,album,193960.0,['japanese vtuber'],0.564,0.895,2.0,-3.677,1.0,0.0517,0.0103,0.0,0.366,0.85,110.108,4.0,57.0,True,False,29.960000000000008,False
387f3,Restaurant Zombie,Lily Mizusaki,Kassi,4293090,232,False,2024-01-01T12:19:36.571132Z,12,0,0.8535,"['tech', 'electronic', 'swing']",['ExpertPlus'],2024-01-12,3K7rIPuRsxyMXYuBRUAZC9,https://beatsaver.com/maps/387f3,http://open.spotify.com/track/3K7rIPuRsxyMXYuBRUAZC9,Restaurant Zombie,Lily Mizusaki,7lTldFQRper14zHRotCmX7,WITCH BLACK,2024,album,231089.0,[],0.678,0.925,11.0,-3.216,0.0,0.0383,0.0864,0.0,0.306,0.829,130.031,4.0,2.0,True,True,0.9110000000000014,True
387e2,MOTTO-ZUTTO be with you,Kurosawa Dia,Ge2toro,69424,245,False,2024-01-01T12:00:00.750431Z,90,3,0.9268,"['dance-style', 'tech', 'anime']","['Hard', 'Expert', 'ExpertPlus']",2024-01-12,0zAOOdPlmQyuO4zTEEaZ9y,https://beatsaver.com/maps/387e2,http://open.spotify.com/track/0zAOOdPlmQyuO4zTEEaZ9y,MOTTO-ZUTTO be with you,黒澤ダイヤ (CV.小宮有紗) from Aqours,0EIh0S0UKHafWiyMUYltsr,LoveLive! Sunshine!! Second Solo Concert Album ～THE STORY OF FEATHER～ starring Kurosawa Dia,2022,album,247000.0,['anime cv'],0.64,0.768,10.0,-6.135,0.0,0.039,0.186,0.000597,0.0544,0.737,131.955,4.0,29.0,False,True,2.0,True
387f2,Young Girls,Bruno Mars,Justmeexisting,4316580,236,False,2024-01-01T10:27:23.157665Z,4,0,0.75,['none'],['Expert'],2024-01-12,3G5iN5QBqMeXx3uZPy8tgB,https://beatsaver.com/maps/387f2,http://open.spotify.com/track/3G5iN5QBqMeXx3uZPy8tgB,Young Girls,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Unorthodox Jukebox,2012,album,228720.0,"['dance pop', 'pop']",0.561,0.749,6.0,-4.951,0.0,0.032,0.461,1.82e-06,0.205,0.501,125.986,4.0,69.0,True,True,7.280000000000001,True
387e8,Moonlight,しがない高校生,moru3966,175624,56,False,2024-01-01T08:36:18.414821Z,4,0,0.75,['none'],['ExpertPlus'],2024-01-12,1MfI0ct17ZfLGOCOHozqeP,https://beatsaver.com/maps/387e8,http://open.spotify.com/track/1MfI0ct17ZfLGOCOHozqeP,Moonlight,しがない高校生,2rZpeoqzeYv7h9eDcWWh2D,Moonlight,2022,album,58702.0,[],0.456,0.812,5.0,-5.556,0.0,0.0407,0.00934,0.462,0.104,0.678,155.934,4.0,58.0,True,True,2.701999999999998,True
387e7,turn it on,ColinQualm,vronk,4306657,30,False,2024-01-01T21:48:37.345721Z,0,0,0.5,['none'],"['Expert', 'ExpertPlus']",2024-01-12,5KXTDunEgNVBnuSBDzsm6x,https://beatsaver.com/maps/387e7,http://open.spotify.com/track/5KXTDunEgNVBnuSBDzsm6x,Turn It on Again,Genesis,3CkvROUTQ6nRi9yQOcsB50,Duke,1980,album,229333.0,"['album rock', 'art rock', 'classic rock', 'hard rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",0.546,0.813,4.0,-10.143,0.0,0.0356,0.196,0.00502,0.0486,0.427,128.131,4.0,51.0,False,True,199.333,False
387e1,trouble,rain,harper_,4284838,66,False,2024-01-01T06:18:52.684171Z,0,0,0.5,['none'],['ExpertPlus'],2024-01-12,4BOHPwYIJXDVGkReh0rFRH,https://beatsaver.com/maps/387e1,http://open.spotify.com/track/4BOHPwYIJXDVGkReh0rFRH,Rain in Brisbane,Ryan Caraveo,1PDE2MIJ4M6uvFJDrslazf,Trouble in Paradise,2023,album,174358.0,"['deep underground hip hop', 'indie pop rap']",0.684,0.499,1.0,-7.357,1.0,0.037,0.0593,6.17e-06,0.167,0.136,116.951,4.0,44.0,False,False,108.358,False
387e0,Carol of the Bells,"Multiple TikTokers, DJ Khaled Impersonator",DesperateWoman,162181,27,False,2024-01-01T06:16:43.396317Z,0,3,0.2805,"['classical-orchestral', 'vocaloid', 'fitness', 'challenge']",['Easy'],2024-01-12,0b6UoVjUzFyZNpHI0aAhKt,https://beatsaver.com/maps/387e0,http://open.spotify.com/track/0b6UoVjUzFyZNpHI0aAhKt,Celebrate (feat. Travis Scott & Post Malone),DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,Father Of Asahd,2019,album,206498.0,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",0.362,0.714,9.0,-3.07,0.0,0.0835,0.269,0.0,0.21,0.309,67.4,4.0,60.0,True,False,179.498,False
387df,that 2021 vibe is locked in,steej,harperalt,153462,250,False,2024-01-01T06:14:41.337893Z,2,1,0.5732,"['tech', 'electronic', 'dance']",['ExpertPlus'],2024-01-12,6MubnLlHTpDx8QrlFi6NGn,https://beatsaver.com/maps/387df,http://open.spotify.com/track/6MubnLlHTpDx8QrlFi6NGn,that 2021 vibe is locked in,gingus,7pI4Zmuib20gknwwWNqPpJ,that 2021 vibe is locked in,2023,album,248616.0,"['dariacore', 'hyperpop', 'mashcore']",0.709,0.852,1.0,-3.357,1.0,0.0831,0.0484,0.0301,0.176,0.703,90.944,4.0,28.0,False,True,1.3839999999999861,True
387dd,Test your game (cowbell),BeatGames,BeatGamesUSLAKA,180607,30,False,2024-01-01T06:09:02.573259Z,1,0,0.6129,"['accuracy', 'balanced']",['Expert'],2024-01-12,4iAADGCKIR9GkLGvAHfZUS,https://beatsaver.com/maps/387dd,http://open.spotify.com/track/4iAADGCKIR9GkLGvAHfZUS,Beat Goes On (Rhythm to the Brain),Campbell,5udgXJYWwK7cchnPSKqEkK,Beat Goes On (Rhythm to the Brain),2022,album,133212.0,[],0.821,0.781,0.0,-4.465,1.0,0.0397,0.00563,0.0191,0.0403,0.434,137.017,4.0,65.0,False,False,103.21199999999999,False
