,_id,bs_map_id,title,artist,mapper_name,mapper_id,duration_seconds,auto_mapped,upload_date,tags,difficulties,spotify_id,sp_title,sp_artist,sp_artist_id,artist_genres,album,album_released,album_type,sp_duration,sp_danceability,sp_energy,sp_key,sp_loudness,sp_mode,sp_speechiness,sp_acousticness,sp_instrumentalness,sp_liveness,sp_valence,sp_tempo,sp_time_signature,sp_popularity,bs_map_link,spotify_link,artist_match,title_match,duration_difference,match_conclusion,upvotes,downvotes,score,last_fetched
0,6535c0a830e14ba1bf4fddf1,1c7d1,Uchi no Tama Shirimasen ka? Ai ha genkidesu,Yumi Tanimura,t103p,4285109,97.0,False,2021-09-24T10:20:22.536486Z,['none'],"['Hard', 'Expert']",4avi0BlYVQEOynwNVACdoh,そこなしやみ〜暗闇の世界〜,Kikiyama,0dQ0dD0KCz1GVkTG55XXWc,['weirdcore'],ゆめにっき サウンドトラック ゆめのおと 1,2014-06-04,album,60666.0,0.12,0.00261,9.0,-32.328,0.0,0.0518,0.964,0.974,0.103,0.0482,71.319,5.0,49.0,https://beatsaver.com/maps/1c7d1,http://open.spotify.com/track/4avi0BlYVQEOynwNVACdoh,False,False,36.334,False,16,3,0.7645,2023-10-30
1,6535c0a830e14ba1bf4fddf2,1c7cf,Walk This Way! (Very very short version),Kano,denpadokei,4284345,39.0,False,2021-09-24T09:40:44.225130Z,['none'],['ExpertPlus'],4ipXFsSBklGJ804zdXemVA,I'm Ready,Kano,24DinDXSaOyHPz3JhdL9Qb,"['italo disco', 'post-disco']",Kano,1980-01-01,album,432360.0,0.873,0.565,10.0,-9.676,1.0,0.0588,0.0772,0.829,0.025,0.785,126.642,4.0,41.0,https://beatsaver.com/maps/1c7cf,http://open.spotify.com/track/4ipXFsSBklGJ804zdXemVA,True,False,393.36,False,11,4,0.6729,2023-10-30
2,6535c0a830e14ba1bf4fddf3,1c7cd,Down Wanna Hear,Angela Chang,lovelessdark,4285192,165.0,False,2021-09-24T08:49:51.070178Z,['none'],['Hard'],1MAv2SJPGVVDHyFlhflmYR,親愛的那不是愛情,Angela Chang,4txug0T3vYc9p20tuhfCUa,['mandopop'],Ang5.0,2007-12-14,album,256830.0,0.549,0.588,9.0,-5.97,1.0,0.0256,0.516,0.0,0.0895,0.331,149.852,4.0,58.0,https://beatsaver.com/maps/1c7cd,http://open.spotify.com/track/1MAv2SJPGVVDHyFlhflmYR,True,False,91.82999999999998,False,9,3,0.6768,2023-10-30
3,6535c0a830e14ba1bf4fddf4,1c7cc,FIGHTING GOLD,Coda,Nir,4287797,92.0,False,2021-09-24T08:16:20.033114Z,['none'],['Hard'],5ycVJufpq4ad1mqA5JfNQS,Fighting Gold,Coda,2xcKG6XtsW4NV5zMXWuL6n,['shonen'],Fighting Gold,2018-11-14,album,253185.0,0.422,0.882,10.0,-2.353,1.0,0.0528,0.00914,0.0,0.296,0.47,91.908,4.0,61.0,https://beatsaver.com/maps/1c7cc,http://open.spotify.com/track/5ycVJufpq4ad1mqA5JfNQS,True,True,161.185,True,16,6,0.6799,2023-10-30
4,6535c0a930e14ba1bf4fddf5,1c7cb, Sing Me to Sleep [NCS Fanmade],Alan Walker,elementalcheeto,4285019,188.0,False,2021-09-24T07:38:18.443258Z,['none'],['Expert'],1tfVpMI8G6EakZU4rEja4w,Sing Me to Sleep,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,['electro house'],Different World,2018-12-14,album,187800.0,0.474,0.622,4.0,-6.381,0.0,0.061,0.0129,3.82e-06,0.327,0.158,176.062,4.0,66.0,https://beatsaver.com/maps/1c7cb,http://open.spotify.com/track/1tfVpMI8G6EakZU4rEja4w,True,True,0.1999999999999886,True,14,9,0.5866,2023-10-30
5,6535c0a930e14ba1bf4fddf6,1c7b8,Obey,Bring Me The Horizon,epicmoo34,4284327,221.0,False,2021-09-24T04:02:00.935554Z,"['electronic', 'alternative', 'metal']",['ExpertPlus'],6MD6xpFK4cfquxRqXxqwjq,Obey (with YUNGBLUD),Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,"['melodic metalcore', 'metalcore', 'modern rock', 'rock', 'uk metalcore']",POST HUMAN: SURVIVAL HORROR,2020-10-30,album,220538.0,0.462,0.99,1.0,-3.175,0.0,0.211,0.000103,0.0,0.374,0.204,137.061,4.0,66.0,https://beatsaver.com/maps/1c7b8,http://open.spotify.com/track/6MD6xpFK4cfquxRqXxqwjq,True,True,0.4619999999999891,True,4,3,0.5438,2023-10-30
6,6535c0a930e14ba1bf4fddf7,1c798,eden,Gram,coolpick,4287694,146.0,False,2021-09-24T01:02:14.017687Z,['none'],['ExpertPlus'],1DLcVhd02kE9bb7mrdsxTR,Gentle Arms of Eden,Dave Carter,1AEkSThfoXOOnxNyeALWQg,['contemporary folk'],Drum Hat Buddha,2001-06-12,album,183106.0,0.601,0.49,0.0,-9.558,1.0,0.0325,0.697,0.0,0.172,0.645,109.712,4.0,34.0,https://beatsaver.com/maps/1c798,http://open.spotify.com/track/1DLcVhd02kE9bb7mrdsxTR,False,True,37.106,False,10,2,0.7357,2023-10-30
7,6535c0a930e14ba1bf4fddf8,1c7b4,Bailandorape,Imil & m1dlet,ddemilia,4296344,185.0,False,2021-09-24T00:40:17.035241Z,"['challenge', 'speedcore']",['ExpertPlus'],1IQYlJtMDhY5t7J9byVp3y,Imela,kezybeauty,2XnzLtFUwIa65bkaWTUjwb,[],Imela,2023-08-21,album,70206.0,0.504,0.0395,2.0,-18.485,1.0,0.0555,0.903,0.0,0.0951,0.356,93.676,1.0,36.0,https://beatsaver.com/maps/1c7b4,http://open.spotify.com/track/1IQYlJtMDhY5t7J9byVp3y,False,False,114.794,False,6,4,0.5677,2023-10-30
8,6535c0a930e14ba1bf4fddf9,1c7b2,Mandela Sound Effect [feat. Kobaryo],Srezcat,Dough,4292078,180.0,False,2021-09-24T00:03:56.315653Z,['none'],"['Expert', 'ExpertPlus']",1I9BXxyjMtm3xc1xAGpdsl,Mandela Sound Effect,Srezcat,4Gi0jK2HXYKaUiJsfyfY2r,['j-core'],Mandela Sound Effect,2021-10-30,album,179997.0,0.425,0.997,6.0,-1.674,0.0,0.155,0.00393,0.932,0.348,0.0868,95.033,4.0,22.0,https://beatsaver.com/maps/1c7b2,http://open.spotify.com/track/1I9BXxyjMtm3xc1xAGpdsl,True,True,0.0029999999999859,True,6,0,0.7915,2023-10-30
9,6535c0a930e14ba1bf4fddfa,1c7b1,You,Imil,ddemilia,4296344,127.0,False,2021-09-23T23:53:39.122294Z,"['challenge', 'speedcore']",['ExpertPlus'],5pVLvSOwjlNYJpvMPNItus,in your eyes,The Obsidian,6bXzsEdDVMZZjiHr4Opst1,['hardwave'],in your eyes,2023-08-25,album,156019.0,0.589,0.786,6.0,-6.011,1.0,0.0581,0.0677,0.241,0.116,0.0897,129.963,4.0,34.0,https://beatsaver.com/maps/1c7b1,http://open.spotify.com/track/5pVLvSOwjlNYJpvMPNItus,False,True,29.019000000000005,False,16,12,0.5585,2023-10-30
